playerid,Made.it.flag,Rk_Avg_AB,Rk_Avg_AB_HR,Rk_Avg_AB_HR_norm,Rk_Avg_AB_norm,Rk_Avg_Age,Rk_Avg_BABIP,Rk_Avg_BABIP_norm,Rk_Avg_Bavg,Rk_Avg_Bavg_norm,Rk_Avg_BB,Rk_Avg_BBpct,Rk_Avg_BBpct_norm,Rk_Avg_BB_norm,Rk_Avg_CS,Rk_Avg_CS_norm,Rk_Avg_Dbl,Rk_Avg_Dbl_norm,Rk_Avg_G,Rk_Avg_GDP,Rk_Avg_GDP_norm,Rk_Avg_G_norm,Rk_Avg_H,Rk_Avg_HBP,Rk_Avg_HBP_norm,Rk_Avg_HR,Rk_Avg_HRpct,Rk_Avg_HRpct_norm,Rk_Avg_HR_norm,Rk_Avg_H_norm,Rk_Avg_IBB,Rk_Avg_IBB_norm,Rk_Avg_ISO,Rk_Avg_ISO_norm,Rk_Avg_K_BB,Rk_Avg_K_BB_norm,Rk_Avg_OBP,Rk_Avg_OBP_norm,Rk_Avg_OPS,Rk_Avg_OPS_norm,Rk_Avg_orgs,Rk_Avg_orgs_norm,Rk_Avg_PA,Rk_Avg_PA_norm,Rk_Avg_R,Rk_Avg_RBI,Rk_Avg_RBI_norm,Rk_Avg_R_norm,Rk_Avg_SB,Rk_Avg_SB_norm,Rk_Avg_SecA,Rk_Avg_SecA_norm,Rk_Avg_SF,Rk_Avg_SF_norm,Rk_Avg_SH,Rk_Avg_SH_norm,Rk_Avg_SLG,Rk_Avg_SLG_norm,Rk_Avg_SO,Rk_Avg_SOpct,Rk_Avg_SOpct_norm,Rk_Avg_SO_norm,Rk_Avg_TB,Rk_Avg_TB_norm,Rk_Avg_teams,Rk_Avg_teams_norm,Rk_Avg_Tpl,Rk_Avg_Tpl_norm,Rk_Avg_wOBA,Rk_Avg_wOBA_norm,Rk_Avg_wRAA,Rk_Avg_wRAA_norm,Rk_Avg_XBH,Rk_Avg_XBHpct,Rk_Avg_XBHpct_norm,Rk_Avg_XBH_norm,Rk_Sum_AB,Rk_Sum_AB_HR,Rk_Sum_BABIP,Rk_Sum_Bavg,Rk_Sum_BB,Rk_Sum_BBpct,Rk_Sum_CS,Rk_Sum_Dbl,Rk_Sum_G,Rk_Sum_GDP,Rk_Sum_H,Rk_Sum_HBP,Rk_Sum_HR,Rk_Sum_HRpct,Rk_Sum_IBB,Rk_Sum_ISO,Rk_Sum_K_BB,Rk_Sum_OBP,Rk_Sum_OPS,Rk_Sum_orgs,Rk_Sum_PA,Rk_Sum_R,Rk_Sum_RBI,Rk_Sum_SB,Rk_Sum_SecA,Rk_Sum_SF,Rk_Sum_SH,Rk_Sum_SLG,Rk_Sum_SO,Rk_Sum_SOpct,Rk_Sum_TB,Rk_Sum_teams,Rk_Sum_Tpl,Rk_Sum_wOBA,Rk_Sum_wRAA,Rk_Sum_XBH,Rk_Sum_XBHpct,Rk_Years,M_Rk_Avg_AB_HR_norm,M_Rk_Avg_AB_norm,M_Rk_Avg_Age,M_Rk_Avg_BABIP_norm,M_Rk_Avg_Bavg_norm,M_Rk_Avg_BBpct_norm,M_Rk_Avg_BB_norm,M_Rk_Avg_CS_norm,M_Rk_Avg_Dbl_norm,M_Rk_Avg_GDP_norm,M_Rk_Avg_G_norm,M_Rk_Avg_HBP_norm,M_Rk_Avg_HRpct_norm,M_Rk_Avg_HR_norm,M_Rk_Avg_H_norm,M_Rk_Avg_IBB_norm,M_Rk_Avg_ISO_norm,M_Rk_Avg_K_BB_norm,M_Rk_Avg_OBP_norm,M_Rk_Avg_OPS_norm,M_Rk_Avg_orgs_norm,M_Rk_Avg_PA_norm,M_Rk_Avg_RBI_norm,M_Rk_Avg_R_norm,M_Rk_Avg_SB_norm,M_Rk_Avg_SecA_norm,M_Rk_Avg_SF_norm,M_Rk_Avg_SH_norm,M_Rk_Avg_SLG_norm,M_Rk_Avg_SOpct_norm,M_Rk_Avg_SO_norm,M_Rk_Avg_TB_norm,M_Rk_Avg_teams_norm,M_Rk_Avg_Tpl_norm,M_Rk_Avg_wOBA_norm,M_Rk_Avg_wRAA_norm,M_Rk_Avg_XBHpct_norm,M_Rk_Avg_XBH_norm,WAR
10009,1,3.0,0.0,-0.192475218551613,-0.343624046978959,19.0,0.0,0.0,0.0,-0.635226439211538,0.0,0.0,-0.536401050218769,-0.367440779347009,0.0,-0.20004001200400098,0.0,-0.316862125262239,11.0,0.0,0.0,-0.638966083923032,0.0,0.0,-0.247536885744169,0.0,0.0,-0.20241437087001302,-0.21587762343877598,-0.33982184135402,0.0,-0.140028008402801,0.0,-0.37810921659135205,0.0,-0.533449340824439,0.0,-0.836106863283346,0.0,-0.7925586139947629,1.0,0.0,5.0,-0.30393364064009903,1.0,0.0,-0.303492414740772,-0.0571453645965195,0.0,-0.178195376273093,0.0,-0.5997407930338511,0.0,-0.288855725875908,2.0,1.6329105407103401,0.0,-0.662969788725122,0.0,0.0,-1.1915529446434698,-0.543287351279271,0.0,-0.323287599246204,1.0,0.0,0.0,-0.228509384466872,0.0,-0.8329589645650759,-1.2173579109063002,-0.411245974791992,0.0,0.0,-0.389853244912758,-0.291873627784024,3,0.0,0.0,0.0,0,0.0,0,0,11,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1,5,1,0,0,0.0,0,2,0.0,0,0.0,0,1,0,0.0,-1.2173579109063002,0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.18
10024,1,232.0,232.0,3.83986407143621,1.67563256251084,19.0,0.292682926829268,0.16748231152909399,0.26293103448275895,0.38631088576065203,30.0,0.11363636363636401,-0.0900521770260951,1.11230550896804,8.0,4.39575959548612,5.0,-0.0620556481000215,66.0,0.0,0.0,1.3537859140740298,61.0,1.0,0.0357725827609547,1.0,0.0037878787878787797,-0.632083222380721,-0.428610650677363,1.49523232236251,0.0,-0.49411459253458095,0.0732758620689655,-0.834967441245255,0.9,-0.5366555979358401,0.348484848484849,0.2591374740484,0.6846917450365729,-0.16653292738251402,1.0,0.0,264.0,1.58724335994752,60.0,13.0,-0.24499487865591002,2.75679837577362,46.0,5.98839834798812,0.3663793103448279,0.33030292681333,1.0,-0.0823654008897829,0.0,-0.6732765557541801,0.336206896551724,-0.365571587747634,27.0,0.10227272727272699,-0.877586443545269,0.432046134336702,78.0,0.7117389883947329,1.0,0.0,1.0,0.292795998308685,0.329359848484848,-0.228921563487032,2.34296874999999,-0.39080766108261294,17.0,0.278688524590164,-0.9593308987660859,-0.226494485764881,232,232.0,0.292682926829268,0.26293103448275895,30,0.11363636363636401,8,5,66,0,61,1,1,0.0037878787878787797,0,0.0732758620689655,0.9,0.348484848484849,0.6846917450365729,1,264,60,13,46,0.3663793103448279,1,0,0.336206896551724,27,0.10227272727272699,78,1,1,0.329359848484848,2.34296874999999,17,0.278688524590164,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.64
10044,1,212.0,0.0,-0.7191475684781021,1.19431209935679,21.0,0.32515337423312896,0.0,0.25,0.25035150414720897,29.0,0.117886178861789,0.10478047529282,1.0472142302293799,3.0,0.882775052065935,2.0,-0.5904531736824,58.0,0.0,0.0,1.04095547108671,53.0,3.0,1.55037319172932,0.0,0.0,-0.7503168752063492,-0.6436022107713559,0.9473040139340358,0.0,-0.538114356412609,0.0330188679245283,-0.9643660101470491,1.6896551724137898,-0.0954148314161837,0.348360655737705,0.326257741793002,0.6313795236622329,-0.251996659756622,1.0,0.0,246.0,1.20140553359746,40.0,16.0,0.0224223360326243,1.4177151759700801,43.0,4.73288886832951,0.358490566037736,0.431765507856118,0.0,-0.754895036003824,2.0,0.6032050908556911,0.283018867924528,-0.52550612379033,49.0,0.19918699186991898,0.0823630926702129,1.7507655965666202,60.0,0.280077836559974,1.0,0.0,1.0,0.288167626444579,0.30675409836065604,-0.29681225128289696,-2.14290612182701,-0.6958236843343412,7.0,0.132075471698113,-0.9396731522475541,-0.598664752321298,212,0.0,0.32515337423312896,0.25,29,0.117886178861789,3,2,58,0,53,3,0,0.0,0,0.0330188679245283,1.6896551724137898,0.348360655737705,0.6313795236622329,1,246,40,16,43,0.358490566037736,0,2,0.283018867924528,49,0.19918699186991898,60,1,1,0.30675409836065604,-2.14290612182701,7,0.132075471698113,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.8
1008,1,233.0,25.888888888888896,-0.412809329479308,1.23550630645038,21.0,0.32547169811320803,0.0630360921270154,0.334763948497854,1.2055931052878899,31.0,0.11231884057971,0.40054908794060207,1.4157174332852098,2.0,-0.125328293017377,19.0,1.9445780571808702,60.0,5.0,1.28361029240123,1.0744823077752,78.0,4.0,0.661981041259161,9.0,0.0326086956521739,0.8064673730947579,1.4666213584404701,1.69654170838268,2.0,1.81278278568151,0.356223175965665,1.43551563228622,0.580645161290323,-0.907721163792914,0.4124087591240879,1.03930144275703,1.10339588358761,1.4510998200716498,1.0,0.0,276.0,1.3559613834972901,59.0,47.0,1.65987771929113,2.11430891144752,7.0,0.29503952504416703,0.510729613733906,1.3701932694802499,6.0,3.4778161489723503,2.0,0.7037388029377629,0.690987124463519,1.51273848731882,18.0,0.0652173913043478,-1.8163164146070099,-0.855015588183413,161.0,1.90346682590554,1.0,0.0,3.0,1.30452304702794,0.522507352941176,1.4044623442969901,43.780207670078795,2.3612774455256402,83.0,1.06410256410256,0.798871050045615,1.9607135384999201,233,25.888888888888896,0.32547169811320803,0.334763948497854,31,0.11231884057971,2,19,60,5,78,4,9,0.0326086956521739,2,0.356223175965665,0.580645161290323,0.4124087591240879,1.10339588358761,1,276,59,47,7,0.510729613733906,6,2,0.690987124463519,18,0.0652173913043478,161,1,3,0.522507352941176,43.780207670078795,83,1.06410256410256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.99
10094,1,59.0,0.0,-0.6157400983669029,-0.5618076838524549,19.0,0.196428571428571,0.0,0.18644067796610198,0.0,13.0,0.171052631578947,0.0,0.102949954436349,1.0,-0.0219981534297927,1.0,-0.691973526634884,28.0,0.0,0.0,-0.095821168600589,11.0,3.0,1.95837277096099,0.0,0.0,0.0,-0.5568468686079101,-0.6962021002470901,0.0,0.0,0.0338983050847457,0.0,0.23076923076923103,-0.9848693578950609,0.36,0.0,0.5803389830508471,0.0,1.0,0.0,76.0,-0.44647002326829205,7.0,0.0,-1.20786283316154,-0.619002372944035,7.0,0.541901849404065,0.35593220338983095,0.0,0.0,-0.752755601376197,1.0,0.28189258765744396,0.22033898305084698,0.0,3.0,0.0394736842105263,0.0,-1.21194875323194,13.0,-0.7891692985039191,1.0,0.0,0.0,-0.747565757443835,0.301626666666667,0.0,-1.3548791500664,0.0,2.0,0.18181818181818202,-0.845136996252509,-0.8204114966458729,59,0.0,0.196428571428571,0.18644067796610198,13,0.171052631578947,1,1,28,0,11,3,0,0.0,0,0.0338983050847457,0.23076923076923103,0.36,0.5803389830508471,1,76,7,0,7,0.35593220338983095,0,1,0.22033898305084698,3,0.0394736842105263,13,1,0,0.301626666666667,-1.3548791500664,2,0.18181818181818202,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0.02
101052,1,92.0,27.6666666666667,-0.21689703151966602,0.0697125281595802,16.0,0.34645464025026096,0.5203133552774111,0.286479250334672,0.518680265120072,11.5,0.140647310804379,1.2482468554708601,0.457871139102647,2.0,0.500611664982715,3.5,-0.221223859188821,26.0,0.5,-0.808527487912198,-0.126436741208265,27.0,2.0,0.11004762133534599,1.5,0.00785340314136125,-0.44737183536807595,0.10231001727568499,0.325508232976763,0.0,-0.390083379132545,0.136880856760375,-0.39920722394474,1.23684210526316,-0.580564485220302,0.393027129938125,0.9089417211614109,0.816387237033172,0.19109754445417498,1.0,0.0,106.5,0.11594375327767098,14.5,10.5,0.0134212365341644,0.22256829182856303,4.0,0.360006351523109,0.342034805890228,0.22425431535279602,1.0,0.24384126321557603,0.0,-0.570222865439594,0.42336010709504707,-0.10849705802081801,16.0,0.16420752022846302,-0.499693841105669,-0.386764520409569,41.5,0.16062021319022501,1.0,0.0,0.5,-0.156571055207705,0.38993979057591605,0.179764272252954,5.8427152317880795,0.306428882097352,14.5,0.475510204081633,-0.5691905096598421,-0.0583323715844097,184,55.3333333333333,0.692909280500521,0.572958500669344,23,0.281294621608758,4,7,52,1,54,4,3,0.0157068062827225,0,0.27376171352075,2.47368421052632,0.786054259876249,1.6327744740663401,2,213,29,21,8,0.684069611780455,2,0,0.8467202141900941,32,0.328415040456925,83,2,1,0.779879581151833,11.6854304635762,29,0.9510204081632649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.28
101117,1,24.0,19.3333333333333,-0.287754998732725,-0.9986362953385308,21.3333333333333,0.223257418909593,-0.8653714720867671,0.202107279693487,-0.34322591705501,3.0,0.0857142857142857,-0.12437988905404301,-0.7091663038669151,0.0,-0.6986897402965021,1.0,-0.8003557140537428,9.66666666666667,0.33333333333333304,-0.751583745718932,-0.950881279938431,4.66666666666667,0.666666666666667,-0.5038026533971839,0.33333333333333304,0.00476190476190476,-0.299333657242946,-0.440204166438537,-0.992972384026571,0.0,-0.271799465880435,0.129310344827586,0.131910145516548,0.5416666666666671,-0.7697110104862329,0.27857142857142897,-0.459239938130285,0.609989053092501,-0.21134174166539396,1.0,-0.0527046276694728,28.3333333333333,-0.9875219281780719,3.6666666666666696,3.0,-0.7794177451085369,-0.804619766301975,0.33333333333333304,-0.563915645731321,0.23659003831417602,-0.12436846688404599,0.666666666666667,-0.0457052282416548,0.0,-0.570265883161788,0.331417624521073,-0.0484203365852251,4.66666666666667,0.103571428571429,-0.923457485279731,-0.9415049531143621,8.0,-0.9352569843201591,1.0,-0.0527046276694728,0.0,-0.611813094989498,0.305320238095238,-0.43569250059072395,-0.467135520359342,-0.45387638785303497,3.3333333333333304,0.575757575757576,-0.172382988759907,-0.776587940769082,72,58.0,0.6697722567287779,0.60632183908046,9,0.25714285714285695,0,3,29,1,14,2,1,0.0142857142857143,0,0.38793103448275895,1.625,0.8357142857142859,1.8299671592775,3,85,11,9,1,0.7097701149425291,2,0,0.994252873563218,14,0.310714285714286,24,3,0,0.9159607142857141,-1.4014065610780302,10,1.72727272727273,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48
101124,1,254.0,127.0,1.38802180545788,1.42627637924072,19.0,0.28921568627451005,-0.434448277439011,0.24015748031496104,-0.28510205700541497,7.0,0.0261194029850746,-1.4318302201965702,-0.7120380251657259,2.0,-0.182667862361506,9.0,0.23954606588167002,69.0,3.0,0.0786930361745046,1.42734219403049,61.0,2.0,-0.32504411033423497,2.0,0.00746268656716417,-0.6263336050937149,-0.336962562715225,0.91162520115946,0.0,-0.46351963164698295,0.14960629921259802,-0.578624165008206,7.142857142857139,2.04456582399969,0.264150943396226,-0.9283632584039971,0.653914722923785,-0.700095349220672,1.0,0.0,268.0,1.19698276620467,28.0,31.0,0.7888421926469951,0.34230318022600503,7.0,0.30312833779500203,0.19685039370078697,-1.05735447066036,2.0,0.5667925274626221,3.0,1.112895466118,0.389763779527559,-0.518896090636073,50.0,0.18656716417910396,-0.38617044462946004,0.789819214450435,99.0,0.627663886294047,1.0,0.0,4.0,1.68155095309964,0.31053207547169803,-0.753870946781105,-3.43162564038486,-1.18731491631427,38.0,0.6229508196721311,-0.438211763726853,0.278515950949997,254,127.0,0.28921568627451005,0.24015748031496104,7,0.0261194029850746,2,9,69,3,61,2,2,0.00746268656716417,0,0.14960629921259802,7.142857142857139,0.264150943396226,0.653914722923785,1,268,28,31,7,0.19685039370078697,2,3,0.389763779527559,50,0.18656716417910396,99,1,4,0.31053207547169803,-3.43162564038486,38,0.6229508196721311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.59
101234,1,199.0,39.8,-0.14251651964719,0.757923090881292,19.0,0.410958904109589,1.05145095878757,0.326633165829146,0.922787196304116,12.0,0.0555555555555556,-0.7687609637923059,-0.22989568525530202,4.0,0.4983900936036161,15.0,1.2681182729375602,50.0,6.0,1.3079325322797,0.518140427895171,65.0,4.0,0.381166834420721,5.0,0.0231481481481481,0.229804460801795,0.550502791412665,1.06966814648102,1.0,0.7644007960494108,0.28140703517587895,0.673995734493158,4.08333333333333,0.6202560406466321,0.375,0.44778741567976704,0.9830402010050251,0.776252979702493,1.0,0.0,216.0,0.639824150979165,34.0,37.0,1.2107377218903101,0.7323996346722449,7.0,0.30312833779500203,0.35678391959799,0.21586777331787801,1.0,-0.0915587928978082,0.0,-0.754295815924425,0.6080402010050251,0.874352770699318,49.0,0.22685185185185197,0.077205125017494,0.74415968099637,121.0,1.09050504728602,1.0,0.0,2.0,0.49780179730455704,0.47087906976744204,0.8166922028061471,25.9055290312644,1.2124694427703502,56.0,0.861538461538462,0.20560321671712903,1.01995214554558,199,39.8,0.410958904109589,0.326633165829146,12,0.0555555555555556,4,15,50,6,65,4,5,0.0231481481481481,1,0.28140703517587895,4.08333333333333,0.375,0.9830402010050251,1,216,34,37,7,0.35678391959799,1,0,0.6080402010050251,49,0.22685185185185197,121,1,2,0.47087906976744204,25.9055290312644,56,0.861538461538462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.15
101328,1,103.25,77.625,0.612021521459469,0.0908587150825798,17.75,0.3365735669952539,0.7067199190341,0.243510039194707,0.40319371451825,13.5,0.101448126359653,0.410079272287655,0.346209891938634,0.0,-0.6580846812866961,4.25,-0.0744110301518965,31.25,2.75,0.0566718516591906,0.162825605680661,26.5,1.0,-0.39626677717333203,1.0,0.00640990287097466,0.0801316894769712,-0.011813415485182,0.150733534516445,0.25,0.19374493789806002,0.15892185335290399,-0.15840897528456102,2.9091478696741895,0.517936681488061,0.32439069359687,0.584427142473245,0.7268225861444799,0.195896956673728,1.0,-0.3779644730092271,118.75,0.10374953311917698,14.5,12.75,0.136843350191368,0.093838171882197,0.5,-0.5128007116261141,0.279792397680537,0.0485046797283761,0.5,-0.422308416652829,0.5,-0.360218661650942,0.402431892547611,0.0608351924435774,26.5,0.263459034224959,0.28118102594925,0.362968693589878,41.25,0.10168810757244401,1.0,-0.3779644730092271,0.75,0.18121204513100603,0.354811349465628,0.18311169555170603,2.9428066750612905,0.35847007663901204,14.75,0.665758671250885,-0.0305424680687073,0.00925912684080989,413,310.5,1.3462942679810102,0.9740401567788259,54,0.405792505438613,0,17,125,11,106,4,4,0.0256396114838986,1,0.6356874134116179,11.6365914786967,1.29756277438748,2.9072903445779197,4,475,58,51,2,1.11916959072215,2,2,1.6097275701904399,106,1.05383613689984,165,4,3,1.4192453978625101,11.7712267002451,59,2.66303468500354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19
