
A- Logistic Results
=============================================
                      Dependent variable:    
                  ---------------------------
                     MLB Career >= 3 Years   
---------------------------------------------
Rk_Avg_AB                     0.2	(0.2)           
Rk_Avg_AB_HR                 0.001  (0.002)          
Rk_Avg_Age                  0.2***  (0.03)           
Rk_Avg_BABIP                 -2.6   (1.6)           
Rk_Avg_Bavg                 5.9***  (2.3)           
Rk_Avg_BB                    -0.3   (0.4)
Rk_Avg_BBpct                 -41.6  (6,712.2)         
Rk_Avg_CS                    -1.1   (2.1)           
Rk_Avg_Dbl                   1.8**  (0.8)           
Rk_Avg_G                    -0.01** (0.01)           
Rk_Avg_GDP                   -0.5   (1.8)           
Rk_Avg_H                     -0.1   (0.2)           
Rk_Avg_HBP                   -1.1   (1.3)           
Rk_Avg_HR                     0.6   (1.8)           
Rk_Avg_IBB                   -39.8  (8,193.2)         
Rk_Avg_ISO                  -8.3**  (4.1)           
Rk_Avg_K_BB                 -0.1**  (0.1)           
Rk_Avg_OPS                   -0.1   (0.3)           
Rk_Avg_orgs                  -40.2  (1,613.0)         
Rk_Avg_PA                     0.2   (0.2)           
Rk_Avg_R                      0.1   (0.2)           
Rk_Avg_RBI                   0.5*   (0.3)           
Rk_Avg_SB                     0.4   (0.9)           
Rk_Avg_SecA                  1.0*   (0.6)           
Rk_Avg_SF                    -1.4   (1.4)           
Rk_Avg_SH                    -25.7  (4,077.3)         
Rk_Avg_SLG                   -0.3   (0.5)           
Rk_Avg_SO                    -0.2   (0.2)           
Rk_Avg_SOpct                 -31.3  (1,775.3)         
Rk_Avg_TB                    -0.1   (0.2)           
Rk_Avg_teams                 -0.1   (0.5)           
Rk_Avg_Tpl                   -44.3  (4,256.5)         
Rk_Avg_wOBA                  8.1**  (4.1)           
Rk_Avg_wRAA                  0.01   (0.01)           
Rk_Avg_XBH                    0.1   (0.3)           
Rk_Avg_XBHpct                0.05   (0.2)           
M_Rk_Avg_AB                  -34.7  (1,613.0)         
Low_A_Avg_AB                0.3***  (0.1)           
Low_A_Avg_AB_HR              0.001  (0.001)          
Low_A_Avg_Age               -0.5*** (0.03)           
Low_A_Avg_BABIP              -23.0  (1,111.2)         
Low_A_Avg_Bavg               17.7   (5,846.1)         
Low_A_Avg_BB                  0.3   (0.4)           
Low_A_Avg_BBpct               3.1   (5,896.4)         
Low_A_Avg_CS                 6.6**  (3.1)           
Low_A_Avg_Dbl               -6.4*** (1.8)           
Low_A_Avg_G                 -0.004  (0.003)          
Low_A_Avg_GDP                -0.8   (2.0)           
Low_A_Avg_H                 0.4***  (0.1)           
Low_A_Avg_HBP                -2.2   (2.5)           
Low_A_Avg_HR                -6.7*** (2.1)           
Low_A_Avg_HRpct              -23.7  (4,321.7)         
Low_A_Avg_IBB                -31.8  (7,912.4)         
Low_A_Avg_ISO                3.6*   (1.9)           
Low_A_Avg_K_BB              -0.2*** (0.03)           
Low_A_Avg_OBP                -24.3  (5,581.4)         
Low_A_Avg_OPS                 0.2   (0.2)           
Low_A_Avg_orgs               -10.2  (2,287.6)         
Low_A_Avg_PA                0.5***  (0.1)           
Low_A_Avg_R                   0.4   (0.3)           
Low_A_Avg_RBI                0.6**  (0.3)           
Low_A_Avg_SB                 -0.4   (1.0)           
Low_A_Avg_SecA               -0.04  (0.8)           
Low_A_Avg_SF                 -11.1  (3,956.2)         
Low_A_Avg_SH                 -26.0  (4,027.5)         
Low_A_Avg_SLG                1.3**  (0.7)           
Low_A_Avg_SO                -0.4*** (0.1)           
Low_A_Avg_SOpct              -27.1  (1,028.4)         
Low_A_Avg_TB                 0.3**  (0.1)           
Low_A_Avg_teams              -14.0  (1,962.3)         
Low_A_Avg_Tpl                -1.9   (2.2)           
Low_A_Avg_wOBA              -0.000  (2.2)           
Low_A_Avg_wRAA              0.02*** (0.01)           
Low_A_Avg_XBH                -0.1   (0.2)           
Low_A_Avg_XBHpct             0.05   (0.1)           
Constant                     64.5   (1,996.0)         
=============================================
Note:             *p<0.1; **p<0.05; ***p<0.01
