"playerid","A.WAR","Aprob","posit","eWAR.A","PlayerName","Level"
203450,8.85136291913532,0.682094419102006,"OF",6.03746524858864,"Juan Soto","A"
203936,9.07091345106084,0.650054213259523,"SS",5.89658550697458,"Carter Kieboom","A"
162784,6.19393778796577,0.903081359907437,"P-IF",5.59362976073819,"Chris Pike","A"
203939,8.20902326085649,0.563310061745363,"OF",4.62422539994219,"Taylor Trammell","A"
209810,11.0283935428059,0.401768439770066,"SS",4.43086046686341,"Royce Lewis","A"
208985,11.1732638570717,0.346223314967135,"1B",3.86844445159786,"Pedro Castellanos","A"
198894,8.32601546355079,0.449801578104489,"OF",3.74505489482753,"Jesus Sanchez","A"
200416,6.41618413162004,0.577025306426169,"IF",3.70230061463478,"Austin Upshaw","A"
203451,11.1208681784515,0.323106484679781,"SS",3.5932246237267,"Andres Gimenez","A"
203451,11.1208681784515,0.323106484679781,"SS",3.5932246237267,"Andres Gimenez","A"
209295,7.98653746167724,0.391836692165545,"OF",3.12941842083982,"Jorge Ona","A"
204381,6.90044144825556,0.440967591642886,"OF",3.04287104671,"Cristian Pache","A"
198395,7.90840647142185,0.382266599659971,"SS",3.02311965055934,"Diego Castillo","A"
203968,9.65625782815498,0.302396352748533,"3B",2.92001714843353,"Colton Welker","A"
204501,10.0188923152309,0.275601987995387,"SS",2.76122663958935,"Eguy Rosario","A"
186896,8.01059792860881,0.341067412585244,"SS",2.73215390877132,"C.J. Chatham","A"
197450,8.66757739952452,0.310656533140987,"SS",2.69263954566746,"James Nelson","A"
203935,11.546681004167,0.224270801953295,"SS",2.58958340870341,"Hudson Potts","A"
196143,6.94301243679507,0.330340137317764,"2B",2.29355568176983,"Keston Hiura","A"
203171,7.59769743117961,0.300555223682437,"OF",2.28352765089967,"Leody Taveras","A"
189855,7.90235640316098,0.28635450505914,"1B",2.26287535662809,"Lewin Diaz","A"
198410,7.24734877313545,0.286373314224269,"OF",2.07544728750199,"Lorenzo Cedrola","A"
203928,7.08778470588568,0.288905114713729,"3B",2.04769725352012,"Josh Lowe","A"
197936,9.12112800583683,0.208856398629088,"SS",1.905005946734,"Arquimedes Gamboa","A"
197921,8.54984098097904,0.222772329965255,"OF",1.90466799616512,"Isranel Wilson","A"
208304,6.29838997206056,0.302296327062034,"SS",1.90398015495825,"Aramis Ademan","A"
195941,6.06495954025678,0.310979036358684,"IF-OF",1.88607527338346,"Brian Miller","A"
204037,5.82741991206251,0.319791546551915,"CF",1.86355962608589,"Jack Suwinski","A"
174581,6.06081507364009,0.304427159969461,"IF",1.84507671996835,"Hunter Owen","A"
203955,5.79792854532826,0.317792994043546,"C",1.84254107167041,"Mario Feliciano","A"
204358,5.73510683114228,0.312752698202218,"2B",1.79367013591772,"Reinaldo Ilarraza","A"
197395,6.07434716970917,0.294630830524369,"OF",1.78968995150476,"D.J. Wilson","A"
197425,6.17333149889831,0.280313847743688,"SS",1.73047030585349,"Gabriel Cancel","A"
203979,6.03311002752747,0.282411384879269,"OF",1.70381895800304,"Conner Capel","A"
203966,5.74973054026836,0.292332474595599,"OF",1.68083295709454,"Khalil Lee","A"
197843,6.08740117371932,0.270406745790478,"SS",1.64607434170658,"Emmanuel Rivera","A"
187982,6.30408731308385,0.259756221078135,"OF",1.63752589779327,"Isiah Gilliam","A"
185426,5.92283028463746,0.274926122330213,"OF",1.62834076337533,"Danny Woodrow","A"
204004,5.92283028463746,0.265622105642947,"SS",1.57323465157122,"Santiago Espinal","A"
198782,5.8351336203953,0.25847680929426,"SS",1.50824672000544,"Yeiler Peguero","A"
188089,5.75373619466652,0.260498166646977,"SS",1.49883773008098,"Riley Mahan","A"
203938,6.78407105579243,0.219554807511487,"OF",1.48947541479876,"Dylan Carlson","A"
198363,5.78787558572846,0.255241208361326,"SS",1.47730435834635,"Daniel Brito","A"
164452,6.62270012248804,0.221504537802074,"C",1.46695812963345,"Will Remillard","A"
194208,6.44299231782849,0.224726988097036,"OF",1.44791425791794,"Michael Gigliotti","A"
192511,6.38736923574585,0.224292273135454,"SS",1.4326375652409,"Adrian Valerio","A"
204340,6.47512650208125,0.219714456613543,"SS",1.42267890090873,"Isaac Paredes","A"
204340,6.47512650208125,0.219714456613543,"SS",1.42267890090873,"Isaac Paredes","A"
197918,8.36701514764209,0.169919756702035,"3B",1.42172117820959,"Juan Yepez","A"
