"playerid","AAA.WAR","AAAprob","posit","eWAR.AAA","PlayerName","Level"
169539,12.0251274824105,0.582,"IF",6.99862419476291,"Rhys Hoskins","AAA"
209231,8.62234504298306,0.74,"3B",6.38053533180747,"Emmanuel Avila","AAA"
164019,10.6015380491092,0.56,"1B",5.93686130750114,"Mike Ford","AAA"
180621,9.75082261605716,0.598,"C",5.83099192440218,"Danny Jansen","AAA"
160738,11.1941295775112,0.434,"OF",4.85825223663986,"Steven Duggar","AAA"
211321,7.88544692625176,0.6,"OF",4.73126815575105,"Yordanys Linares","AAA"
151196,10.2374029419341,0.452,"OF",4.62730612975422,"Carlos Lopez","AAA"
181017,6.4571528948632,0.684,"OF",4.41669258008643,"Michael Hermosillo","AAA"
128086,7.13444787405032,0.59,"S",4.20932424568969,"Carlos Colmenares","AAA"
168211,8.22911280067469,0.484,"IF",3.98289059552655,"Matt Chapman","AAA"
170788,7.47693820184602,0.53,"1B",3.96277724697839,"Garrett Cooper","AAA"
170788,7.47693820184602,0.53,"1B",3.96277724697839,"Garrett Cooper","AAA"
171450,6.31899820348478,0.616,"OF",3.89250289334662,"Boog Powell","AAA"
171450,6.31899820348478,0.616,"OF",3.89250289334662,"Boog Powell","AAA"
180961,8.41532501064111,0.426,"1B",3.58492845453311,"Jake Bauers","AAA"
209276,5.4206521966296,0.652,"2B",3.5342652322025,"Isaac Rodriguez","AAA"
180759,6.85228560410101,0.49,"1B",3.3576199460095,"Rowdy Tellez","AAA"
211334,4.5897212829791,0.706,"2B",3.24034322578325,"Osniel Madera","AAA"
181508,5.05993422077735,0.628,"SS",3.17763869064818,"Johan Camargo","AAA"
48168,6.39967744224259,0.488,"OF",3.12304259181438,"Cyle Hankerd","AAA"
164300,5.16065246626065,0.566,"OF",2.92092929590353,"Jordan Patterson","AAA"
171715,4.79030842227158,0.604,"SS-2B",2.89334628705204,"Ramon Torres","AAA"
164405,6.29203178084776,0.444,"3B",2.79366211069641,"Hunter Dozier","AAA"
200103,4.35293752380375,0.64,"1B",2.7858800152344,"Byung-Ho Park","AAA"
163282,6.39292347682057,0.43,"OF",2.74895709503285,"Adam Engel","AAA"
156520,5.82378070726024,0.462,"2B",2.69058668675423,"Ryan Brett","AAA"
157848,5.16560393790714,0.512,"C",2.64478921620846,"Kyle Farmer","AAA"
209706,5.26482467938235,0.5,"3B",2.63241233969118,"Ricky Rodriguez","AAA"
209796,4.56636063963798,0.524,"3B",2.3927729751703,"Jae-Gyun Hwang","AAA"
171964,4.969817650876,0.468,"3B",2.32587466060997,"Nicky Delmonico","AAA"
52430,3.15067653051504,0.68,"SS",2.14246004075023,"Jose Rodriguez","AAA"
148027,4.97200405811658,0.414,"3B",2.05840968006026,"Brian Hernandez","AAA"
156441,4.65880842250476,0.432,"OF",2.01260523852205,"Jaycob Brugman","AAA"
172439,3.11219059008356,0.646,"3B-2B",2.01047512119398,"Sergio Gastelum","AAA"
158349,4.71727384265251,0.408,"1B-3B",1.92464772780222,"Matt Juengel","AAA"
172423,3.67177034540463,0.492,"OF",1.80651100993908,"Luis Fonseca","AAA"
162011,4.02208836382434,0.444,"SS-2B",1.78580723353801,"Ronny Rodriguez","AAA"
52287,3.05283969787094,0.544,"OF",1.66074479564179,"Hector Garanzuay","AAA"
142821,3.06798481315916,0.538,"OF",1.65057582947963,"Xavier Avery","AAA"
156069,3.04035182634023,0.534,"IF",1.62354787526568,"Ricardo Serrano","AAA"
49865,3.18289962515676,0.452,"3B",1.43867063057086,"Josh Rodriguez","AAA"
135599,3.04528752960533,0.47,"3B",1.43128513891451,"Carlos Rivero","AAA"
172652,3.05592073164185,0.468,"2B",1.43017090240839,"Carlos Valencia","AAA"
