"playerid","A.WAR","Aprob","posit","eWAR.A","PlayerName","Level"
203450,8.85136291913532,0.682094419102006,"OF",6.03746524858864,"Juan Soto","A"
203936,9.07091345106084,0.650054213259523,"SS",5.89658550697458,"Carter Kieboom","A"
162784,6.19393778796577,0.903081359907437,"P-IF",5.59362976073819,"Chris Pike","A"
203939,8.20902326085649,0.563310061745363,"OF",4.62422539994219,"Taylor Trammell","A"
209810,11.0283935428059,0.401768439770066,"SS",4.43086046686341,"Royce Lewis","A"
208985,11.1732638570717,0.346223314967135,"1B",3.86844445159786,"Pedro Castellanos","A"
198894,8.32601546355079,0.449801578104489,"OF",3.74505489482753,"Jesus Sanchez","A"
200416,6.41618413162004,0.577025306426169,"IF",3.70230061463478,"Austin Upshaw","A"
203451,11.1208681784515,0.323106484679781,"SS",3.5932246237267,"Andres Gimenez","A"
203451,11.1208681784515,0.323106484679781,"SS",3.5932246237267,"Andres Gimenez","A"
209295,7.98653746167724,0.391836692165545,"OF",3.12941842083982,"Jorge Ona","A"
204381,6.90044144825556,0.440967591642886,"OF",3.04287104671,"Cristian Pache","A"
198395,7.90840647142185,0.382266599659971,"SS",3.02311965055934,"Diego Castillo","A"
203968,9.65625782815498,0.302396352748533,"3B",2.92001714843353,"Colton Welker","A"
204501,10.0188923152309,0.275601987995387,"SS",2.76122663958935,"Eguy Rosario","A"
186896,8.01059792860881,0.341067412585244,"SS",2.73215390877132,"C.J. Chatham","A"
197450,8.66757739952452,0.310656533140987,"SS",2.69263954566746,"James Nelson","A"
203935,11.546681004167,0.224270801953295,"SS",2.58958340870341,"Hudson Potts","A"
